기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20244,11590650,사당4동,CS100005,제과점,358052064,41812,256580151,101471913,49059934,60406349,51035320,48842008,47236540,55167128,46304785,22965,36142760,67638530,95912193,135464861,22870755,157552451,200499613,2816811,49784530,92217712,96281712,69288380,47662919,30469,11343,5646,7002,6137,5808,5876,6216,5127,9,4237,7763,10758,16058,2987,17929,23883,522,6881,10252,10703,7417,6037
20244,11590660,대방동,CS100005,제과점,771559232,65053,547789361,223769871,105904559,116230854,100588605,99362334,125703009,127291607,96478264,3794774,134760237,190191957,179675898,197483405,65652961,291693977,438447400,5380597,95441254,160027724,184443145,187694550,97154108,46469,18584,8984,10059,9025,8870,9531,10257,8327,247,10441,15192,14851,18140,6182,23700,40533,777,10291,14321,14763,15298,8784
20244,11590670,신대방1동,CS100005,제과점,160535768,22675,123257145,37278623,22258542,23688091,31146238,21193839,24970435,24838622,12440001,86726,27161806,32801485,32397396,51256286,16832069,62462417,87044397,1355648,28090933,29446805,28454511,30568405,31590510,17254,5421,3379,3550,3371,3353,3601,3352,2069,11,5311,3515,4086,7054,2698,8841,13601,324,5860,5077,3745,3851,3582
20244,11590680,신대방2동,CS100005,제과점,677399389,62187,557016876,120382513,117326094,119201346,93392630,94004981,133091825,65417643,54964870,0,174024009,217337069,144206012,128737793,13094506,181054593,321521318,1346563,46817954,124272035,133748149,113488633,82902579,49181,13006,9865,10518,9480,9519,9799,7198,5808,0,19440,16567,12331,12357,1492,21166,36975,224,6813,16161,14017,11837,9090
20244,11620525,보라매동,CS100005,제과점,688902418,63112,518019658,170882760,94568952,138756172,102903788,85446187,96344559,97386997,73495763,8081179,115792772,155702653,153578017,192868901,62878896,252709062,325872406,3100272,66032706,115349004,137715270,142538164,113846051,45921,17191,8863,10417,9173,8431,9037,9574,7617,1163,10733,11335,13641,19400,6840,25150,35548,557,8928,13394,13686,13516,10620
20244,11620575,행운동,CS100005,제과점,220370058,26056,164235289,56134769,31213238,39582016,32550636,32865639,28023760,34092325,22042444,54459,36485085,40369938,57489950,70559821,15410805,80622423,124613516,863648,21240436,36398832,50604731,43992985,52135310,19335,6721,3801,4295,3600,3941,3698,3865,2856,5,3038,4537,6537,9665,2274,10438,15187,173,3643,5368,5934,5066,5443
20244,11620585,낙성대동,CS100005,제과점,1960737474,120499,1267169772,693567702,201081837,285339181,249380679,239160549,292207526,390064119,303503583,236628,280784161,455374477,539102102,607439417,77800689,828988354,1065001180,11430587,358992625,518892205,346305142,363715593,294653380,80612,39887,14206,17266,15906,15538,17696,21557,18330,7,17128,24477,30650,41436,6801,48956,70195,988,28470,33040,19567,20568,16519
20244,11620595,청룡동,CS100005,제과점,789142457,72801,526771558,262370899,92267718,128053958,98422294,94174339,113853249,148031182,114339717,1046446,93131710,192665899,173329504,264060436,64908462,271747129,417637211,5825267,171825367,187170074,119552453,121375806,83635372,52406,20395,9901,11640,10037,10307,10521,10567,9828,105,11435,16068,14398,23832,6963,25138,45055,867,20607,19138,10783,11029,7765
20244,11620605,은천동,CS100005,제과점,372801106,35428,280207668,92593438,50878049,62096717,49250258,57615319,60367325,57577544,35015894,331026,70658425,90955842,77784598,106226851,26844364,129849688,186827980,1688086,32670266,58652631,94547798,72860946,56257949,26904,8524,5108,6079,5256,5131,5330,5226,3298,29,6798,6846,7918,10877,2960,13427,20736,290,4403,7273,8871,7751,5574
20244,11620615,중앙동,CS100005,제과점,1236715728,125706,887015775,349699953,163507435,211683527,169338601,163576016,178910196,197692613,152007340,0,191328165,235074081,239531965,421139977,149641540,553467756,676647837,7975503,229242001,290832762,258531732,231350515,212183080,92438,33268,18220,20385,17674,17558,18601,18118,15150,0,21330,23905,22769,41897,15805,51418,73997,1155,28930,30743,23624,21891,19071
