동별(1),동별(2),동별(3),2024 사업체수_합계,2024 총 종사자수_합계,2024여성종사자수_합계,2024 개인사업체_소계,2024개인사업체_여성종사자수,2024_회사법인_소계,2024_회사법인_여성종사자수,2024_회사이외의 법인_소계,2024_회사이외의 법인_여성종사자수,2024_비법인단체_소계,2024_비법인단체_여성종사자수,Unnamed: 14,Unnamed: 15,행정동코드
합계,관악구,보라매동,2034,7388,3644,2619,1225,3543,1558,986,652,240,209,,,11620525.0
합계,관악구,청림동,742,1544,831,902,428,224,71,218,146,200,186,,,11620545.0
합계,관악구,행운동,2109,5970,3262,3190,1697,1639,807,903,543,238,215,,,11620575.0
합계,관악구,낙성대동,2038,8390,3603,3883,1967,3322,962,1106,623,79,51,,,11620585.0
합계,관악구,중앙동,1521,5134,2933,2466,1416,2059,1056,348,237,261,224,,,11620615.0
합계,관악구,인헌동,1623,5113,2500,2473,1232,1964,780,448,278,228,210,,,11620625.0
합계,관악구,남현동,1538,6220,2669,2188,1040,3453,1273,503,296,76,60,,,11620630.0
합계,관악구,서원동,1940,7993,4208,3340,1711,2803,1189,1646,1121,204,187,,,11620645.0
합계,관악구,신원동,1205,2953,1459,1568,746,542,210,696,364,147,139,,,11620655.0
합계,관악구,서림동,1578,3115,1193,2008,739,608,143,353,176,146,135,,,11620665.0
합계,관악구,신사동,1914,4486,2130,2917,1360,921,319,432,249,216,202,,,11680510.0
합계,관악구,신림동,2197,5754,2777,4200,2180,1081,424,390,126,83,47,,,11620695.0
합계,관악구,난향동,721,1973,976,863,355,313,51,599,396,198,174,,,11620715.0
합계,관악구,조원동,2743,7227,3162,4075,1755,1958,621,925,548,269,238,,,11620725.0
합계,관악구,대학동,2139,17561,8817,2725,1255,2143,1147,12596,6362,97,53,,,11620735.0
합계,관악구,은천동,2598,7812,3423,3760,1719,2600,717,958,549,494,438,,,11620605.0
합계,관악구,성현동,1388,3179,1576,1739,769,515,143,654,457,271,207,,,11620565.0
합계,관악구,청룡동,2773,12832,6552,4944,2623,2519,856,5008,2765,361,308,,,11620595.0
합계,관악구,난곡동,1455,3056,1583,1979,851,202,77,435,280,440,375,,,11620775.0
합계,관악구,삼성동,1258,2564,1329,1480,572,173,66,644,452,267,239,,,11620745.0
합계,관악구,미성동,2143,5483,2858,2981,1380,1037,406,998,661,467,411,,,11620765.0
합계,서초구,소계,72068,493979,210746,93153,50126,330305,123118,65755,34215,4766,3287,,,
합계,서초구,서초1동,6323,36642,14469,7242,3624,23637,7860,5355,2756,408,229,,,11650510.0
합계,서초구,서초2동,8711,83277,38464,7724,4252,69206,30732,5857,3224,490,256,,,11650520.0
합계,서초구,서초3동,12027,92681,35701,14928,7018,55648,18593,21648,9874,457,216,,,11650530.0
합계,서초구,서초4동,4176,29588,15492,10678,7151,15829,6871,2840,1318,241,152,,,11650531.0
합계,서초구,잠원동,3117,18189,7987,3863,2163,13245,5191,782,406,299,227,,,11650540.0
합계,서초구,반포본동,191,751,389,175,118,197,77,377,192,2,2,,,11650550.0
합계,서초구,반포1동,2512,11306,5615,4195,2563,5659,2185,1206,660,246,207,,,11650560.0
합계,서초구,반포2동,776,3488,2035,1176,777,948,481,1240,668,124,109,,,11650570.0
합계,서초구,반포3동,1413,7258,3324,2156,1362,4019,1236,897,588,186,138,,,11650580.0
합계,서초구,반포4동,4197,30800,16760,7483,4593,15032,6478,8033,5502,252,187,,,11650581.0
합계,서초구,방배본동,2482,8997,4100,2998,1633,4896,1975,918,368,185,124,,,11650590.0
합계,서초구,방배1동,2819,18896,7634,3361,1795,14289,5109,1098,635,148,95,,,11650600.0
합계,서초구,방배2동,2806,16393,7492,3625,1880,10296,4546,2163,804,309,262,,,11650610.0
합계,서초구,방배3동,1987,11464,3943,2773,1377,6229,1278,2250,1131,212,157,,,11650620.0
합계,서초구,방배4동,3411,13658,6263,4167,2243,7851,3069,1310,708,330,243,,,11650621.0
합계,서초구,양재1동,5827,50256,19595,6656,3387,38217,13099,4771,2652,612,457,,,11650651.0
합계,서초구,양재2동,7779,49805,16674,7840,3167,39419,12295,2404,1100,142,112,,,11650652.0
합계,서초구,내곡동,1514,10530,4809,2113,1023,5688,2043,2606,1629,123,114,,,11650660.0
합계,강남구,소계,101160,755251,350638,134476,77776,534729,225254,78909,42583,7137,5025,,,
합계,강남구,신사동,5590,26166,14122,10369,6507,14656,6992,916,473,225,150,,,11680510.0
합계,강남구,개포3동,748,7005,2736,927,544,2206,565,3558,1367,314,260,,,
합계,강남구,논현1동,8095,48274,23523,12349,7312,34100,15243,1629,855,196,113,,,11680521.0
합계,강남구,논현2동,8318,71049,30929,10322,5730,55737,22692,4795,2402,195,105,,,11680531.0
합계,강남구,삼성1동,7322,63427,27537,5769,3366,50986,20912,6072,2919,600,340,,,11680580.0
합계,강남구,삼성2동,5653,48922,24144,5463,2958,36585,17167,6472,3762,402,257,,,11680590.0
합계,강남구,대치1동,1220,7565,4504,2337,1587,3372,1988,1703,830,153,99,,,11680600.0
합계,강남구,대치4동,5503,32040,14187,8146,4479,21707,8493,1960,1076,227,139,,,11680630.0
합계,강남구,역삼1동,18538,177049,79275,24269,13900,133159,55590,18818,9365,803,420,,,11680640.0
합계,강남구,역삼2동,5212,40283,17477,6042,3147,30020,12012,4014,2181,207,137,,,11680650.0
합계,강남구,도곡1동,2543,19283,8598,3569,2042,11950,3983,3492,2409,272,164,,,11680655.0
합계,강남구,도곡2동,2560,20512,8793,2921,1726,15185,5846,2252,1107,154,114,,,11680656.0
합계,강남구,개포1동,388,1377,499,368,173,720,120,217,135,72,71,,,
합계,강남구,개포4동,3271,11962,4309,3237,1346,7562,2268,935,511,228,184,,,11680690.0
합계,강남구,일원본동,774,9706,7100,1122,674,873,427,7540,5852,171,147,,,11680720.0
합계,강남구,일원1동,2479,6850,2379,2868,911,3075,939,664,309,243,220,,,11680730.0
합계,강남구,수서동,1746,16635,8157,1731,956,12447,5540,1881,1129,576,532,,,11680750.0
합계,강남구,세곡동,2681,10206,4542,3009,1597,5284,1675,1479,873,434,397,,,11680700.0
합계,강남구,압구정동,5491,32040,18006,10305,6401,20159,10765,1251,608,325,232,,,11680545.0
합계,강남구,청담동,6005,40724,22343,11516,7912,27002,13196,1880,1035,326,200,,,11680565.0
합계,강남구,대치2동,5592,59589,24552,5667,3187,47185,18431,6177,2549,560,385,,,11680610.0
합계,강남구,개포2동,1431,4587,2926,2170,1321,759,410,1204,836,454,359,,,11680670.0
합계,송파구,소계,75957,418595,170568,96487,48518,267575,88349,46140,26382,8393,7319,,,
합계,송파구,풍납1동,929,2235,1144,1136,474,602,297,268,166,229,207,,,11710510.0
합계,송파구,풍납2동,1951,15550,9764,2903,1316,2295,756,9961,7363,391,329,,,11710520.0
합계,송파구,거여1동,1247,4160,2323,1709,882,968,279,1038,761,445,401,,,11710531.0
합계,송파구,거여2동,1495,4618,2309,2234,1207,1441,397,532,328,411,377,,,11710532.0
합계,송파구,마천1동,1317,2880,1163,1577,635,647,134,443,211,213,183,,,11710540.0
합계,송파구,마천2동,1735,4624,2219,2540,1220,784,145,817,428,483,426,,,11710550.0
합계,송파구,방이1동,1933,8116,3481,2963,1572,4493,1500,555,328,105,81,,,11710561.0
합계,송파구,방이2동,5351,23723,9951,7147,3491,15104,5606,1147,589,325,265,,,11710562.0
합계,송파구,오륜동,777,5256,2488,821,495,2039,911,2287,1009,109,73,,,11710566.0
합계,송파구,오금동,3733,19623,8074,4629,2113,12377,4213,2118,1328,499,420,,,11710570.0
합계,송파구,송파1동,3409,14112,5954,5087,2450,7707,2536,710,417,608,551,,,11710580.0
합계,송파구,송파2동,1336,4096,2233,1565,820,1669,841,661,401,201,171,,,11710590.0
합계,송파구,석촌동,3959,16310,7395,5991,3139,8880,3380,865,358,574,518,,,11710600.0
합계,송파구,삼전동,2827,10201,4588,3973,1997,4796,1714,1083,541,349,336,,,11710610.0
합계,송파구,가락본동,5226,27900,10632,6488,3274,16934,4873,4089,2168,389,317,,,11710620.0
합계,송파구,가락1동,3813,13024,4461,2386,1137,9417,2669,966,451,255,204,,,11710631.0
합계,송파구,가락2동,3578,12039,5531,4696,2122,6249,2583,742,514,352,312,,,11710632.0
합계,송파구,문정1동,2013,7481,2784,2643,1189,4193,1224,463,226,182,145,,,11710641.0
합계,송파구,문정2동,13149,99251,29287,12510,5820,81378,21107,5173,2221,190,139,,,11710642.0
합계,송파구,잠실본동,4414,24029,9470,7863,4117,14558,4703,1360,456,248,194,,,11710650.0
합계,송파구,잠실4동,646,1853,1178,1037,628,185,100,478,303,153,147,,,11710690.0
합계,송파구,잠실6동,3472,66677,28763,4297,2379,56671,23475,5428,2661,281,248,,,11710710.0
합계,송파구,잠실7동,347,1259,741,353,196,330,192,568,352,8,1,,,11710720.0
합계,송파구,잠실2동,1280,4105,2463,1951,1280,655,233,1322,807,177,143,,,11710670.0
합계,송파구,잠실3동,1967,8474,5097,2863,1899,4705,2600,649,361,257,237,,,11710680.0
합계,송파구,장지동,1927,9332,3508,2283,1082,5215,1155,1282,775,552,496,,,11710646.0
합계,송파구,위례동,2126,7667,3567,2842,1584,3283,726,1135,859,407,398,,,11710647.0
합계,강동구,소계,43775,169270,81698,62879,31883,70883,26039,28334,17521,7174,6255,,,
합계,강동구,명일1동,2636,7748,4809,4266,2462,1360,713,1360,946,762,688,,,11740530.0
합계,강동구,명일2동,1489,5130,2943,2865,1693,1472,728,555,329,238,193,,,11740540.0
합계,강동구,고덕1동,1208,3087,1719,1482,704,279,117,1114,702,212,196,,,11740550.0
합계,강동구,고덕2동,1750,10022,3900,2634,1493,5458,1346,1667,814,263,247,,,11740560.0
합계,강동구,암사2동,1210,3596,1848,1711,852,1273,520,340,217,272,259,,,11740580.0
합계,강동구,암사3동,1402,3046,1565,1553,770,791,393,563,280,139,122,,,11740590.0
합계,강동구,천호1동,2428,5809,3112,3143,1455,1389,659,799,571,478,427,,,11740600.0
합계,강동구,천호3동,2604,11139,5339,4026,2142,6306,2721,493,244,314,232,,,11740620.0
합계,강동구,성내1동,2838,20271,9160,3676,1736,11259,4630,5054,2560,282,234,,,11740640.0
합계,강동구,성내2동,2658,7782,3917,3915,1995,3100,1369,449,293,318,260,,,11740650.0
합계,강동구,성내3동,3097,8982,4593,4632,2529,3430,1443,466,236,454,385,,,11740660.0
합계,강동구,둔촌1동,176,573,259,203,110,53,26,314,121,3,2,,,
합계,강동구,둔촌2동,2061,9969,5353,2892,1363,3293,1365,3372,2274,412,351,,,11740700.0
합계,강동구,암사1동,2630,6728,3703,3606,1602,830,286,1568,1151,724,664,,,11740570.0
합계,강동구,천호2동,4620,15918,8300,7068,3787,6016,2669,2525,1593,309,251,,,11740610.0
합계,강동구,길동,6568,20385,10083,9558,4478,6653,2683,3216,2103,958,819,,,11740685.0
합계,강동구,강일동,1889,5422,2294,2458,1096,1857,369,686,444,421,385,,,11740515.0
합계,강동구,상일1동,1888,7234,4323,2451,1250,1014,387,3390,2363,379,323,,,
합계,강동구,상일2동,623,16429,4478,740,366,15050,3615,403,280,236,217,,,
